From	To
MDC1_HUMAN	ENSG00000206481.11
MDC1_HUMAN	ENSG00000231135.9
HERC2_HUMAN	ENSG00000128731.18
ATR_HUMAN	ENSG00000175054.16
ATRIP_HUMAN	ENSG00000164053.22
TIPIN_HUMAN	ENSG00000075131.10
TIM_HUMAN	ENSG00000111602.12
PP4R2_HUMAN	ENSG00000163605.16
PP4C_HUMAN	ENSG00000149923.14
XRCC3_HUMAN	ENSG00000126215.14
RA51C_HUMAN	ENSG00000108384.16
EME2_HUMAN	ENSG00000197774.14
MUS81_HUMAN	ENSG00000172732.12
EME1_HUMAN	ENSG00000154920.15
RAD51_HUMAN	ENSG00000051180.17
BRCA2_HUMAN	ENSG00000139618.18
SLX4_HUMAN	ENSG00000188827.12
SLX1_HUMAN	ENSG00000132207.18
SLX1_HUMAN	ENSG00000181625.18
XPF_HUMAN	ENSG00000175595.16
ERCC1_HUMAN	ENSG00000012061.17
DNLI3_HUMAN	ENSG00000005156.12
XRCC1_HUMAN	ENSG00000073050.12
XRCC6_HUMAN	ENSG00000196419.13
XRCC5_HUMAN	ENSG00000079246.16
XRCC4_HUMAN	ENSG00000152422.16
DNLI4_HUMAN	ENSG00000174405.15
HBA_HUMAN	ENSG00000188536.13
HBA_HUMAN	ENSG00000206172.8
HBB_HUMAN	ENSG00000244734.4
SOS1_HUMAN	ENSG00000115904.15
CCNB1_HUMAN	ENSG00000134057.15
CDK1_HUMAN	ENSG00000170312.17
CLP1_HUMAN	ENSG00000172409.7
PCF11_HUMAN	ENSG00000165494.12
YAP1_HUMAN	ENSG00000137693.14
TEAD1_HUMAN	ENSG00000187079.20
TEAD2_HUMAN	ENSG00000074219.14
TEAD3_HUMAN	ENSG00000007866.22
TEAD4_HUMAN	ENSG00000197905.10
CCNC_HUMAN	ENSG00000112237.13
CDK8_HUMAN	ENSG00000132964.13
RN111_HUMAN	ENSG00000157450.16
SMAD7_HUMAN	ENSG00000101665.10
P53_HUMAN	ENSG00000141510.18
TIGAR_HUMAN	ENSG00000078237.7
PTEN_HUMAN	ENSG00000171862.15
PTEN_HUMAN	ENSG00000284792.2
TSC2_HUMAN	ENSG00000103197.19
TSC1_HUMAN	ENSG00000165699.15
RIR2B_HUMAN	ENSG00000048392.13
GLSL_HUMAN	ENSG00000135423.13
IBP3_HUMAN	ENSG00000146674.16
TM219_HUMAN	ENSG00000149932.17
APR_HUMAN	ENSG00000141682.12
BID_HUMAN	ENSG00000015475.19
TPIP1_HUMAN	ENSG00000120471.16
STEA3_HUMAN	ENSG00000115107.20
BNI3L_HUMAN	ENSG00000104765.16
TRIA1_HUMAN	ENSG00000170855.4
FSP1_HUMAN	ENSG00000042286.15
T53I1_HUMAN	ENSG00000164938.14
APAF_HUMAN	ENSG00000120868.14
PIDD1_HUMAN	ENSG00000177595.19
CRADD_HUMAN	ENSG00000169372.13
NLRC4_HUMAN	ENSG00000091106.19
CASP6_HUMAN	ENSG00000138794.10
CASPA_HUMAN	ENSG00000003400.16
NDRG1_HUMAN	ENSG00000104419.17
B2L14_HUMAN	ENSG00000121380.12
B2L14_HUMAN	ENSG00000281449.2
BIRC5_HUMAN	ENSG00000089685.15
BCL6_HUMAN	ENSG00000113916.18
Z385A_HUMAN	ENSG00000161642.18
ARI3A_HUMAN	ENSG00000116017.11
E2F7_HUMAN	ENSG00000165891.16
E2F8_HUMAN	ENSG00000129173.13
AURKA_HUMAN	ENSG00000087586.18
GA45A_HUMAN	ENSG00000116717.13
PCNA_HUMAN	ENSG00000132646.11
1433S_HUMAN	ENSG00000175793.12
BAX_HUMAN	ENSG00000087088.21
BTG2_HUMAN	ENSG00000159388.6
PLK2_HUMAN	ENSG00000145632.15
PLK3_HUMAN	ENSG00000173846.13
RGCC_HUMAN	ENSG00000102760.13
PLAL1_HUMAN	ENSG00000118495.21
JUN_HUMAN	ENSG00000177606.9
ATF2_HUMAN	ENSG00000115966.18
FOS_HUMAN	ENSG00000170345.10
PMS2_HUMAN	ENSG00000122512.17
MLH1_HUMAN	ENSG00000076242.17
FANCC_HUMAN	ENSG00000158169.14
DDB2_HUMAN	ENSG00000134574.12
PRDM1_HUMAN	ENSG00000057657.17
MDM2_HUMAN	ENSG00000135679.27
MDM4_HUMAN	ENSG00000198625.14
CCNG1_HUMAN	ENSG00000113328.20
HIPK2_HUMAN	ENSG00000064393.16
PIN1_HUMAN	ENSG00000127445.14
HIPK1_HUMAN	ENSG00000163349.22
SSRP1_HUMAN	ENSG00000149136.9
SP16H_HUMAN	ENSG00000092201.10
CSK21_HUMAN	ENSG00000101266.19
CSK22_HUMAN	ENSG00000070770.10
TPX2_HUMAN	ENSG00000088325.16
NOC2L_HUMAN	ENSG00000188976.11
CDK5_HUMAN	ENSG00000164885.13
CD5R1_HUMAN	ENSG00000176749.9
PO4F1_HUMAN	ENSG00000152192.8
PO4F2_HUMAN	ENSG00000151615.3
BANP_HUMAN	ENSG00000172530.22
PHF20_HUMAN	ENSG00000025293.17
LMBL1_HUMAN	ENSG00000185513.18
EHMT2_HUMAN	ENSG00000204371.12
EHMT2_HUMAN	ENSG00000206376.9
EHMT2_HUMAN	ENSG00000227333.8
EHMT2_HUMAN	ENSG00000236759.7
EHMT2_HUMAN	ENSG00000238134.8
EHMT2_HUMAN	ENSG00000232045.7
EHMT1_HUMAN	ENSG00000181090.21
DEK_HUMAN	ENSG00000124795.17
AP2A_HUMAN	ENSG00000137203.15
AP2B_HUMAN	ENSG00000008196.13
YETS4_HUMAN	ENSG00000127337.7
VEGFA_HUMAN	ENSG00000112715.26
EGFR_HUMAN	ENSG00000146648.21
AP2C_HUMAN	ENSG00000087510.7
CDN1A_HUMAN	ENSG00000124762.14
WWOX_HUMAN	ENSG00000186153.19
RUNX1_HUMAN	ENSG00000159216.19
PTN11_HUMAN	ENSG00000179295.19
PEBB_HUMAN	ENSG00000067955.15
P73_HUMAN	ENSG00000078900.16
FOG1_HUMAN	ENSG00000179588.9
GATA1_HUMAN	ENSG00000102145.16
CATK_HUMAN	ENSG00000143387.14
SPB13_HUMAN	ENSG00000197641.12
CCND1_HUMAN	ENSG00000110092.4
CDK4_HUMAN	ENSG00000135446.17
PRGC1_HUMAN	ENSG00000109819.9
ERR1_HUMAN	ENSG00000173153.17
RUNX2_HUMAN	ENSG00000124813.23
TWST1_HUMAN	ENSG00000122691.13
NKX32_HUMAN	ENSG00000109705.8
MSX2_HUMAN	ENSG00000120149.9
SMAD4_HUMAN	ENSG00000141646.16
SMAD1_HUMAN	ENSG00000170365.10
RUNX3_HUMAN	ENSG00000020633.19
SMAD3_HUMAN	ENSG00000166949.17
NFKB1_HUMAN	ENSG00000109320.14
TF65_HUMAN	ENSG00000173039.20
VENTX_HUMAN	ENSG00000151650.8
HDAC2_HUMAN	ENSG00000196591.12
SIN3A_HUMAN	ENSG00000169375.17
HDAC1_HUMAN	ENSG00000116478.12
E2F6_HUMAN	ENSG00000169016.17
TFDP1_HUMAN	ENSG00000198176.13
TFDP2_HUMAN	ENSG00000114126.18
MAX_HUMAN	ENSG00000125952.21
MGAP_HUMAN	ENSG00000174197.19
FOXO4_HUMAN	ENSG00000184481.17
1433Z_HUMAN	ENSG00000164924.18
CBP_HUMAN	ENSG00000005339.15
FOXO1_HUMAN	ENSG00000150907.10
ATX3_HUMAN	ENSG00000066427.25
FOXO3_HUMAN	ENSG00000118689.15
SODM_HUMAN	ENSG00000291237.1
SPT4H_HUMAN	ENSG00000213246.7
SPT5H_HUMAN	ENSG00000196235.14
ELOC_HUMAN	ENSG00000154582.18
ELOB_HUMAN	ENSG00000103363.16
T2FA_HUMAN	ENSG00000125651.14
T2FB_HUMAN	ENSG00000188342.13
NCBP2_HUMAN	ENSG00000114503.11
NCBP1_HUMAN	ENSG00000136937.13
TAP1_HUMAN	ENSG00000168394.13
TAP1_HUMAN	ENSG00000206297.7
TAP1_HUMAN	ENSG00000226173.4
TAP1_HUMAN	ENSG00000227816.4
TAP1_HUMAN	ENSG00000230705.4
TAP1_HUMAN	ENSG00000224212.4
TAP1_HUMAN	ENSG00000232367.5
TAP2_HUMAN	ENSG00000204267.19
TAP2_HUMAN	ENSG00000206235.8
TAP2_HUMAN	ENSG00000206299.8
TAP2_HUMAN	ENSG00000228582.9
TAP2_HUMAN	ENSG00000232326.9
TAP2_HUMAN	ENSG00000225967.9
TAP2_HUMAN	ENSG00000223481.9
TAP2_HUMAN	ENSG00000237599.9
MUTA_HUMAN	ENSG00000146085.8
MMAA_HUMAN	ENSG00000151611.17
ACHA4_HUMAN	ENSG00000101204.18
ACHB2_HUMAN	ENSG00000160716.6
ACHA3_HUMAN	ENSG00000080644.16
ACHB4_HUMAN	ENSG00000117971.12
SHQ1_HUMAN	ENSG00000144736.14
DKC1_HUMAN	ENSG00000130826.19
ATRX_HUMAN	ENSG00000085224.23
DAXX_HUMAN	ENSG00000204209.13
DAXX_HUMAN	ENSG00000206206.11
DAXX_HUMAN	ENSG00000206279.10
DAXX_HUMAN	ENSG00000231617.8
DAXX_HUMAN	ENSG00000227046.8
TNFL6_HUMAN	ENSG00000117560.8
TNR6_HUMAN	ENSG00000026103.25
BAG4_HUMAN	ENSG00000156735.11
TNR1A_HUMAN	ENSG00000067182.9
TNFA_HUMAN	ENSG00000204490.3
TNFA_HUMAN	ENSG00000206439.5
TNFA_HUMAN	ENSG00000228321.3
TNFA_HUMAN	ENSG00000228849.3
TNFA_HUMAN	ENSG00000230108.3
TNFA_HUMAN	ENSG00000223952.3
TNFA_HUMAN	ENSG00000232810.5
TNAP3_HUMAN	ENSG00000118503.18
TAXB1_HUMAN	ENSG00000106052.14
TR10A_HUMAN	ENSG00000104689.10
TR10D_HUMAN	ENSG00000173530.6
TR10B_HUMAN	ENSG00000120889.13
NGF_HUMAN	ENSG00000134259.6
TNR16_HUMAN	ENSG00000064300.9
IRAK1_HUMAN	ENSG00000184216.15
MYD88_HUMAN	ENSG00000172936.18
UBE2B_HUMAN	ENSG00000119048.9
RAD18_HUMAN	ENSG00000070950.10
WDR48_HUMAN	ENSG00000114742.14
UBP1_HUMAN	ENSG00000162607.13
MD2L2_HUMAN	ENSG00000116670.16
REV3L_HUMAN	ENSG00000009413.17
POLH_HUMAN	ENSG00000170734.12
ZN363_HUMAN	ENSG00000163743.14
TRI25_HUMAN	ENSG00000121060.19
UB2L6_HUMAN	ENSG00000156587.16
ISG15_HUMAN	ENSG00000187608.10
UBA7_HUMAN	ENSG00000182179.13
SUMO3_HUMAN	ENSG00000184900.16
FANCM_HUMAN	ENSG00000187790.12
FAP24_HUMAN	ENSG00000131944.11
CENPX_HUMAN	ENSG00000169689.15
CENPS_HUMAN	ENSG00000175279.22
FACD2_HUMAN	ENSG00000144554.13
FANCI_HUMAN	ENSG00000140525.20
CD27_HUMAN	ENSG00000139193.4
CD70_HUMAN	ENSG00000125726.11
EDAR_HUMAN	ENSG00000135960.10
EDA_HUMAN	ENSG00000158813.18
TNR27_HUMAN	ENSG00000131080.15
TNF18_HUMAN	ENSG00000120337.10
TNR18_HUMAN	ENSG00000186891.14
TNR4_HUMAN	ENSG00000186827.12
TNFL4_HUMAN	ENSG00000117586.11
TNF15_HUMAN	ENSG00000181634.8
TNR25_HUMAN	ENSG00000215788.11
TNR8_HUMAN	ENSG00000120949.15
TNFL8_HUMAN	ENSG00000106952.8
TNFL9_HUMAN	ENSG00000125657.5
TNR9_HUMAN	ENSG00000049249.10
PCCA_HUMAN	ENSG00000175198.17
PCCB_HUMAN	ENSG00000114054.14
MCCB_HUMAN	ENSG00000131844.17
MCCA_HUMAN	ENSG00000078070.14
CNTFR_HUMAN	ENSG00000122756.15
CNTF_HUMAN	ENSG00000242689.3
CRLF1_HUMAN	ENSG00000006016.12
CLCF1_HUMAN	ENSG00000175505.11
I11RA_HUMAN	ENSG00000137070.19
IL11_HUMAN	ENSG00000095752.7
GLU2B_HUMAN	ENSG00000130175.10
GANAB_HUMAN	ENSG00000089597.18
CALR_HUMAN	ENSG00000179218.15
CALX_HUMAN	ENSG00000127022.16
CALX_HUMAN	ENSG00000283777.2
RA51B_HUMAN	ENSG00000182185.19
NDKA_HUMAN	ENSG00000239672.8
NDKB_HUMAN	ENSG00000243678.12
NDK3_HUMAN	ENSG00000103024.8
DP13A_HUMAN	ENSG00000157500.12
DCC_HUMAN	ENSG00000187323.13
CANB1_HUMAN	ENSG00000221823.11
PP2BC_HUMAN	ENSG00000120910.15
BCL2_HUMAN	ENSG00000171791.14
BAD_HUMAN	ENSG00000002330.14
BAK_HUMAN	ENSG00000030110.14
ARF_HUMAN	ENSG00000147889.18
C1QBP_HUMAN	ENSG00000108561.8
CASP9_HUMAN	ENSG00000132906.18
CARD8_HUMAN	ENSG00000105483.18
CASP3_HUMAN	ENSG00000164305.20
XIAP_HUMAN	ENSG00000101966.14
CASP7_HUMAN	ENSG00000165806.21
SEPT4_HUMAN	ENSG00000108387.16
DBLOH_HUMAN	ENSG00000184047.21
DFFA_HUMAN	ENSG00000160049.12
DFFB_HUMAN	ENSG00000169598.17
IMB1_HUMAN	ENSG00000108424.11
IMA5_HUMAN	ENSG00000114030.13
PAK2_HUMAN	ENSG00000180370.10
RHG10_HUMAN	ENSG00000071205.12
RIPK3_HUMAN	ENSG00000129465.16
RIPK3_HUMAN	ENSG00000285379.2
RIPK1_HUMAN	ENSG00000137275.16
FLOT1_HUMAN	ENSG00000137312.15
FLOT1_HUMAN	ENSG00000206379.12
FLOT1_HUMAN	ENSG00000206480.11
FLOT1_HUMAN	ENSG00000232280.9
FLOT1_HUMAN	ENSG00000230143.9
FLOT2_HUMAN	ENSG00000132589.16
MOC2A_HUMAN	ENSG00000164172.20
MOC2B_HUMAN	ENSG00000164172.20
GCH1_HUMAN	ENSG00000131979.20
GFRP_HUMAN	ENSG00000137880.6
TRAF6_HUMAN	ENSG00000175104.15
UB2V1_HUMAN	ENSG00000244687.13
IRAK2_HUMAN	ENSG00000134070.5
TIM13_HUMAN	ENSG00000099800.8
TIM8B_HUMAN	ENSG00000150779.12
TIM8A_HUMAN	ENSG00000126953.8
TIM9_HUMAN	ENSG00000100575.14
TIM10_HUMAN	ENSG00000134809.9
MPPA_HUMAN	ENSG00000165688.14
MPPB_HUMAN	ENSG00000105819.15
PEX19_HUMAN	ENSG00000162735.19
PEX3_HUMAN	ENSG00000034693.15
GET1_HUMAN	ENSG00000182093.16
CAMLG_HUMAN	ENSG00000164615.6
TKN1_HUMAN	ENSG00000006128.12
NK1R_HUMAN	ENSG00000115353.11
GASR_HUMAN	ENSG00000110148.10
GAST_HUMAN	ENSG00000184502.4
NK2R_HUMAN	ENSG00000075073.16
HBEGF_HUMAN	ENSG00000113070.8
IKKE_HUMAN	ENSG00000263528.8
NEMO_HUMAN	ENSG00000269335.7
IKBA_HUMAN	ENSG00000100906.12
NFKB2_HUMAN	ENSG00000077150.21
CAZA2_HUMAN	ENSG00000198898.16
CAPZB_HUMAN	ENSG00000077549.19
CAZA3_HUMAN	ENSG00000177938.5
CAZA1_HUMAN	ENSG00000116489.13
GOGA2_HUMAN	ENSG00000167110.19
GORS1_HUMAN	ENSG00000114745.15
BDNF_HUMAN	ENSG00000176697.20
NTRK2_HUMAN	ENSG00000148053.18
MET_HUMAN	ENSG00000105976.16
PLXB1_HUMAN	ENSG00000164050.13
ERBB2_HUMAN	ENSG00000141736.14
TLN1_HUMAN	ENSG00000137076.22
PI51C_HUMAN	ENSG00000186111.11
COF1_HUMAN	ENSG00000172757.13
LIMK1_HUMAN	ENSG00000106683.15
SEM4A_HUMAN	ENSG00000196189.14
PLXD1_HUMAN	ENSG00000004399.13
SEM4D_HUMAN	ENSG00000187764.12
PTPRC_HUMAN	ENSG00000081237.21
PTPRC_HUMAN	ENSG00000262418.5
CD72_HUMAN	ENSG00000137101.14
SEM7A_HUMAN	ENSG00000138623.10
SEM7A_HUMAN	ENSG00000288455.1
PLXC1_HUMAN	ENSG00000136040.9
ITA1_HUMAN	ENSG00000213949.10
ITB1_HUMAN	ENSG00000150093.20
FGFR1_HUMAN	ENSG00000077782.23
NCAM1_HUMAN	ENSG00000149294.18
FYN_HUMAN	ENSG00000010810.18
NCAN_HUMAN	ENSG00000130287.14
CO4A1_HUMAN	ENSG00000187498.16
CO4A2_HUMAN	ENSG00000134871.19
SLIT2_HUMAN	ENSG00000145147.20
ROBO1_HUMAN	ENSG00000169855.21
ROBO2_HUMAN	ENSG00000185008.19
SLIT1_HUMAN	ENSG00000187122.17
AKAP5_HUMAN	ENSG00000179841.8
ROBO3_HUMAN	ENSG00000154134.15
CNTN2_HUMAN	ENSG00000184144.12
L1CAM_HUMAN	ENSG00000198910.14
CNTN1_HUMAN	ENSG00000018236.15
NRP1_HUMAN	ENSG00000099250.18
ITAV_HUMAN	ENSG00000138448.13
ITB3_HUMAN	ENSG00000259207.10
ITA5_HUMAN	ENSG00000161638.11
ITA9_HUMAN	ENSG00000144668.12
ITA9_HUMAN	ENSG00000291488.1
ITA2B_HUMAN	ENSG00000005961.19
MP2K1_HUMAN	ENSG00000169032.11
MK03_HUMAN	ENSG00000102882.12
MK01_HUMAN	ENSG00000100030.15
MP2K2_HUMAN	ENSG00000126934.15
ITA2_HUMAN	ENSG00000164171.11
ITA10_HUMAN	ENSG00000143127.13
ANK1_HUMAN	ENSG00000029534.22
NFASC_HUMAN	ENSG00000163531.17
NRCAM_HUMAN	ENSG00000091129.22
DCX_HUMAN	ENSG00000077279.21
SDCB1_HUMAN	ENSG00000137575.12
RELN_HUMAN	ENSG00000189056.15
VLDLR_HUMAN	ENSG00000147852.17
WWTR1_HUMAN	ENSG00000018408.15
ABCA1_HUMAN	ENSG00000165029.17
APOA1_HUMAN	ENSG00000118137.10
ANGL8_HUMAN	ENSG00000130173.14
ANGL3_HUMAN	ENSG00000132855.5
LDLR_HUMAN	ENSG00000130164.15
PCSK9_HUMAN	ENSG00000169174.12
NMDE1_HUMAN	ENSG00000183454.18
NMDZ1_HUMAN	ENSG00000176884.17
NMDE2_HUMAN	ENSG00000273079.7
NMDE4_HUMAN	ENSG00000105464.4
NMD3A_HUMAN	ENSG00000198785.7
NMD3B_HUMAN	ENSG00000116032.5
GRIA2_HUMAN	ENSG00000120251.22
GRIA1_HUMAN	ENSG00000155511.19
RGRF1_HUMAN	ENSG00000058335.16
RGRF2_HUMAN	ENSG00000113319.13
GIT1_HUMAN	ENSG00000108262.16
ARHG7_HUMAN	ENSG00000102606.20
INAR1_HUMAN	ENSG00000142166.15
TYK2_HUMAN	ENSG00000105397.15
TFB2M_HUMAN	ENSG00000162851.8
RPOM_HUMAN	ENSG00000099821.14
RNC_HUMAN	ENSG00000113360.17
DGCR8_HUMAN	ENSG00000128191.17
TSN_HUMAN	ENSG00000211460.12
TSNAX_HUMAN	ENSG00000116918.15
BAZ2A_HUMAN	ENSG00000076108.12
DNM3L_HUMAN	ENSG00000142182.9
DNM3A_HUMAN	ENSG00000119772.19
DNM3B_HUMAN	ENSG00000088305.19
CAND1_HUMAN	ENSG00000111530.13
CUL1_HUMAN	ENSG00000055130.18
TFR1_HUMAN	ENSG00000072274.14
HFE_HUMAN	ENSG00000010704.19
TRFE_HUMAN	ENSG00000091513.16
CBR4_HUMAN	ENSG00000145439.12
DHB8_HUMAN	ENSG00000112474.4
DHB8_HUMAN	ENSG00000204228.4
DHB8_HUMAN	ENSG00000228357.2
DHB8_HUMAN	ENSG00000232357.2
DHB8_HUMAN	ENSG00000228712.2
DHB8_HUMAN	ENSG00000225312.2
CCNB2_HUMAN	ENSG00000157456.8
SHC1_HUMAN	ENSG00000160691.19
MTMR7_HUMAN	ENSG00000003987.14
MTMR9_HUMAN	ENSG00000104643.10
MTMR9_HUMAN	ENSG00000285032.3
PK3CB_HUMAN	ENSG00000051382.9
P85B_HUMAN	ENSG00000105647.19
PK3CG_HUMAN	ENSG00000105851.11
PI3R6_HUMAN	ENSG00000276231.5
PK3CD_HUMAN	ENSG00000171608.18
P55G_HUMAN	ENSG00000117461.15
PI3R5_HUMAN	ENSG00000141506.15
PKHA2_HUMAN	ENSG00000169499.15
PTN13_HUMAN	ENSG00000163629.13
PKHA1_HUMAN	ENSG00000107679.15
MTMR6_HUMAN	ENSG00000139505.13
MTMR8_HUMAN	ENSG00000102043.16
MTMR2_HUMAN	ENSG00000087053.20
MTMRD_HUMAN	ENSG00000133812.18
MTMRC_HUMAN	ENSG00000150712.11
MTM1_HUMAN	ENSG00000171100.16
GAB2_HUMAN	ENSG00000033327.13
ITPR1_HUMAN	ENSG00000150995.21
IRAG1_HUMAN	ENSG00000072952.21
PTN6_HUMAN	ENSG00000111679.17
PECA1_HUMAN	ENSG00000261371.6
VGFR2_HUMAN	ENSG00000128052.10
HEXA_HUMAN	ENSG00000213614.11
HEXB_HUMAN	ENSG00000049860.14
EXT1_HUMAN	ENSG00000182197.13
EXT2_HUMAN	ENSG00000151348.16
CD19_HUMAN	ENSG00000177455.15
VAV_HUMAN	ENSG00000141968.8
HS90B_HUMAN	ENSG00000096384.20
SGT1_HUMAN	ENSG00000165416.15
THIO_HUMAN	ENSG00000136810.13
TXNIP_HUMAN	ENSG00000265972.6
PPIP1_HUMAN	ENSG00000140368.14
MEFV_HUMAN	ENSG00000103313.14
ASC_HUMAN	ENSG00000103490.14
GLHA_HUMAN	ENSG00000135346.9
LSHB_HUMAN	ENSG00000104826.15
V2R_HUMAN	ENSG00000126895.16
NEU2_HUMAN	ENSG00000101200.5
RAMP3_HUMAN	ENSG00000122679.8
CALCR_HUMAN	ENSG00000004948.16
TSHB_HUMAN	ENSG00000134200.4
GPHB5_HUMAN	ENSG00000179600.4
GPHA2_HUMAN	ENSG00000149735.7
GHRHR_HUMAN	ENSG00000106128.19
SLIB_HUMAN	ENSG00000118702.11
SLIB_HUMAN	ENSG00000291972.1
CALRL_HUMAN	ENSG00000064989.13
RAMP2_HUMAN	ENSG00000131477.11
GLP2R_HUMAN	ENSG00000065325.13
GLUC_HUMAN	ENSG00000115263.15
RAMP1_HUMAN	ENSG00000132329.11
FSHB_HUMAN	ENSG00000131808.11
ITB5_HUMAN	ENSG00000082781.12
STX4_HUMAN	ENSG00000103496.15
SC22B_HUMAN	ENSG00000265808.4
GLI3_HUMAN	ENSG00000106571.15
PTC1_HUMAN	ENSG00000185920.19
GLI1_HUMAN	ENSG00000111087.10
GLI2_HUMAN	ENSG00000074047.22
SUFU_HUMAN	ENSG00000107882.12
ITCH_HUMAN	ENSG00000078747.17
NUMB_HUMAN	ENSG00000133961.21
ABHD5_HUMAN	ENSG00000011198.10
PLIN1_HUMAN	ENSG00000166819.12
FABP4_HUMAN	ENSG00000170323.9
LIPS_HUMAN	ENSG00000079435.10
CXL16_HUMAN	ENSG00000161921.17
CXCR6_HUMAN	ENSG00000172215.6
C5AR1_HUMAN	ENSG00000197405.8
CO5_HUMAN	ENSG00000106804.10
CX3C1_HUMAN	ENSG00000168329.14
X3CL1_HUMAN	ENSG00000006210.7
KAP2_HUMAN	ENSG00000114302.17
NBEA_HUMAN	ENSG00000172915.20
JAK1_HUMAN	ENSG00000162434.14
I10R1_HUMAN	ENSG00000110324.12
I10R2_HUMAN	ENSG00000243646.11
GOPC_HUMAN	ENSG00000047932.14
CFTR_HUMAN	ENSG00000001626.18
PAK1_HUMAN	ENSG00000149269.10
MERL_HUMAN	ENSG00000186575.19
FLNA_HUMAN	ENSG00000196924.19
MPIP3_HUMAN	ENSG00000158402.21
PKN1_HUMAN	ENSG00000123143.13
CTRO_HUMAN	ENSG00000122966.18
CDN1B_HUMAN	ENSG00000111276.12
PK3C3_HUMAN	ENSG00000078142.14
PI3R4_HUMAN	ENSG00000196455.8
CDON_HUMAN	ENSG00000064309.16
BOC_HUMAN	ENSG00000144857.15
GABPA_HUMAN	ENSG00000154727.11
GABP1_HUMAN	ENSG00000104064.18
PDE6D_HUMAN	ENSG00000156973.14
INP5E_HUMAN	ENSG00000148384.14
TRIPB_HUMAN	ENSG00000100815.12
IFT20_HUMAN	ENSG00000109083.14
TNPO1_HUMAN	ENSG00000083312.19
KIF17_HUMAN	ENSG00000117245.13
TR112_HUMAN	ENSG00000173113.7
N6MT1_HUMAN	ENSG00000156239.12
GSTA1_HUMAN	ENSG00000243955.6
GSTA2_HUMAN	ENSG00000244067.3
GSH1_HUMAN	ENSG00000001084.13
GSH0_HUMAN	ENSG00000023909.10
INS_HUMAN	ENSG00000254647.7
INSR_HUMAN	ENSG00000171105.14
ABCD1_HUMAN	ENSG00000101986.12
ABCD2_HUMAN	ENSG00000173208.4
ABCD3_HUMAN	ENSG00000117528.14
ABCG8_HUMAN	ENSG00000143921.9
ABCG5_HUMAN	ENSG00000138075.14
ACHA9_HUMAN	ENSG00000174343.6
ACH10_HUMAN	ENSG00000129749.3
KCMA1_HUMAN	ENSG00000156113.25
KCMB1_HUMAN	ENSG00000145936.9
PLK1_HUMAN	ENSG00000166851.15
FOXM1_HUMAN	ENSG00000111206.13
CENPF_HUMAN	ENSG00000117724.15
CRF_HUMAN	ENSG00000147571.5
CRHBP_HUMAN	ENSG00000145708.11
DAF_HUMAN	ENSG00000196352.18
AGRE5_HUMAN	ENSG00000123146.20
GABR2_HUMAN	ENSG00000136928.7
GABR1_HUMAN	ENSG00000204681.11
GABR1_HUMAN	ENSG00000206466.10
GABR1_HUMAN	ENSG00000206511.10
